source,relation,target,attributes
entity:a66f852274a4,is_mentioned_in,chunk:text_85499787b88227c4,"{""chunk_id"": ""text_85499787b88227c4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:e567fd8a0182,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:df976fff4411,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:2694625e7ac6,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:24dc53a2add4,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:195ff4de5573,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:b0af5b4391e2,is_mentioned_in,chunk:text_e05e0ddaf073cc6c,"{""chunk_id"": ""text_e05e0ddaf073cc6c"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fa14d251e76a,is_mentioned_in,chunk:text_2cb7b52c437a8c39,"{""chunk_id"": ""text_2cb7b52c437a8c39"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fc0f21105964,is_mentioned_in,chunk:text_e05e0ddaf073cc6c,"{""chunk_id"": ""text_e05e0ddaf073cc6c"", ""source"": ""system"", ""confidence"": 1.0}"
entity:8f6a01f4984f,is_mentioned_in,chunk:text_deed2b86ba9a1ba1,"{""chunk_id"": ""text_deed2b86ba9a1ba1"", ""source"": ""system"", ""confidence"": 1.0}"
entity:5f8f9e33bb5e,is_mentioned_in,chunk:text_e05e0ddaf073cc6c,"{""chunk_id"": ""text_e05e0ddaf073cc6c"", ""source"": ""system"", ""confidence"": 1.0}"
entity:f857e8570d9f,is_mentioned_in,chunk:text_9ab15910bf64d9a9,"{""chunk_id"": ""text_9ab15910bf64d9a9"", ""source"": ""system"", ""confidence"": 1.0}"
entity:adf48f4b9dc4,is_mentioned_in,chunk:text_8bd28c112409cd24,"{""chunk_id"": ""text_8bd28c112409cd24"", ""source"": ""system"", ""confidence"": 1.0}"
entity:7dd559560bb8,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:3c6cfbc2415a,is_mentioned_in,chunk:text_e0a76066f3cfad06,"{""chunk_id"": ""text_e0a76066f3cfad06"", ""source"": ""system"", ""confidence"": 1.0}"
entity:1e014d9b768a,is_mentioned_in,chunk:text_f88cbaaed11bd0f4,"{""chunk_id"": ""text_f88cbaaed11bd0f4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:c2547d0f567b,is_mentioned_in,chunk:text_f88cbaaed11bd0f4,"{""chunk_id"": ""text_f88cbaaed11bd0f4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:cffe819d4413,is_mentioned_in,chunk:text_1ff1bcf05f46464a,"{""chunk_id"": ""text_1ff1bcf05f46464a"", ""source"": ""system"", ""confidence"": 1.0}"
entity:10cd395cf71c,is_mentioned_in,chunk:text_29872c0c058e58d4,"{""chunk_id"": ""text_29872c0c058e58d4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:9c3aba6c2ca8,is_mentioned_in,chunk:text_deed2b86ba9a1ba1,"{""chunk_id"": ""text_deed2b86ba9a1ba1"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,is_mentioned_in,chunk:text_a2e703dae45fcbc4,"{""chunk_id"": ""text_a2e703dae45fcbc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:5f8f9e33bb5e,is_mentioned_in,chunk:text_e0a76066f3cfad06,"{""chunk_id"": ""text_e0a76066f3cfad06"", ""source"": ""system"", ""confidence"": 1.0}"
entity:01ecb022f506,is_mentioned_in,chunk:text_e05e0ddaf073cc6c,"{""chunk_id"": ""text_e05e0ddaf073cc6c"", ""source"": ""system"", ""confidence"": 1.0}"
entity:449a5b0adb8d,is_mentioned_in,chunk:text_85499787b88227c4,"{""chunk_id"": ""text_85499787b88227c4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:09401fded433,is_mentioned_in,chunk:text_29872c0c058e58d4,"{""chunk_id"": ""text_29872c0c058e58d4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:578ed5a4eecf,is_mentioned_in,chunk:text_e05e0ddaf073cc6c,"{""chunk_id"": ""text_e05e0ddaf073cc6c"", ""source"": ""system"", ""confidence"": 1.0}"
entity:140c1f12feeb,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,is_mentioned_in,chunk:text_543d9f2b9dfe377c,"{""chunk_id"": ""text_543d9f2b9dfe377c"", ""source"": ""system"", ""confidence"": 1.0}"
