source,relation,target,attributes
entity:a66f852274a4,is_mentioned_in,chunk:text_85499787b88227c4,"{""chunk_id"": ""text_85499787b88227c4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:016e8d268a5a,is_mentioned_in,chunk:text_2cb7b52c437a8c39,"{""chunk_id"": ""text_2cb7b52c437a8c39"", ""source"": ""system"", ""confidence"": 1.0}"
entity:cde800af086a,is_mentioned_in,chunk:text_2cb7b52c437a8c39,"{""chunk_id"": ""text_2cb7b52c437a8c39"", ""source"": ""system"", ""confidence"": 1.0}"
entity:e567fd8a0182,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:df976fff4411,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:00e72210e498,is_mentioned_in,chunk:text_aceddbbfc057d261,"{""chunk_id"": ""text_aceddbbfc057d261"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a5e87248b4ea,is_mentioned_in,chunk:text_2cb7b52c437a8c39,"{""chunk_id"": ""text_2cb7b52c437a8c39"", ""source"": ""system"", ""confidence"": 1.0}"
entity:617a7acfb96e,is_mentioned_in,chunk:text_29872c0c058e58d4,"{""chunk_id"": ""text_29872c0c058e58d4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:2694625e7ac6,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:24dc53a2add4,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:195ff4de5573,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,is_mentioned_in,chunk:text_5dca8144e94050a6,"{""chunk_id"": ""text_5dca8144e94050a6"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a5e87248b4ea,is_mentioned_in,chunk:text_aceddbbfc057d261,"{""chunk_id"": ""text_aceddbbfc057d261"", ""source"": ""system"", ""confidence"": 1.0}"
entity:732e8277feb2,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:92169f410fa3,is_mentioned_in,chunk:text_dd394da7f4d9a58d,"{""chunk_id"": ""text_dd394da7f4d9a58d"", ""source"": ""system"", ""confidence"": 1.0}"
entity:152649df347e,is_mentioned_in,chunk:text_85499787b88227c4,"{""chunk_id"": ""text_85499787b88227c4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:92b4f19a0754,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:b0af5b4391e2,is_mentioned_in,chunk:text_e05e0ddaf073cc6c,"{""chunk_id"": ""text_e05e0ddaf073cc6c"", ""source"": ""system"", ""confidence"": 1.0}"
entity:c2547d0f567b,is_mentioned_in,chunk:text_5dca8144e94050a6,"{""chunk_id"": ""text_5dca8144e94050a6"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a5e87248b4ea,is_mentioned_in,chunk:text_7227ebe4b683d2a3,"{""chunk_id"": ""text_7227ebe4b683d2a3"", ""source"": ""system"", ""confidence"": 1.0}"
entity:baceea552101,is_mentioned_in,chunk:text_7227ebe4b683d2a3,"{""chunk_id"": ""text_7227ebe4b683d2a3"", ""source"": ""system"", ""confidence"": 1.0}"
entity:671e289aff92,is_mentioned_in,chunk:text_543d9f2b9dfe377c,"{""chunk_id"": ""text_543d9f2b9dfe377c"", ""source"": ""system"", ""confidence"": 1.0}"
entity:9d0ad43c1fee,is_mentioned_in,chunk:text_deed2b86ba9a1ba1,"{""chunk_id"": ""text_deed2b86ba9a1ba1"", ""source"": ""system"", ""confidence"": 1.0}"
entity:9c3aba6c2ca8,is_mentioned_in,chunk:text_85499787b88227c4,"{""chunk_id"": ""text_85499787b88227c4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:50b302ba631e,is_mentioned_in,chunk:text_f88cbaaed11bd0f4,"{""chunk_id"": ""text_f88cbaaed11bd0f4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:817fa9146e77,is_mentioned_in,chunk:text_f88cbaaed11bd0f4,"{""chunk_id"": ""text_f88cbaaed11bd0f4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:5f8f9e33bb5e,is_mentioned_in,chunk:text_e05e0ddaf073cc6c,"{""chunk_id"": ""text_e05e0ddaf073cc6c"", ""source"": ""system"", ""confidence"": 1.0}"
entity:f857e8570d9f,is_mentioned_in,chunk:text_9ab15910bf64d9a9,"{""chunk_id"": ""text_9ab15910bf64d9a9"", ""source"": ""system"", ""confidence"": 1.0}"
entity:adf48f4b9dc4,is_mentioned_in,chunk:text_8bd28c112409cd24,"{""chunk_id"": ""text_8bd28c112409cd24"", ""source"": ""system"", ""confidence"": 1.0}"
entity:736081ee32d8,is_mentioned_in,chunk:text_e0a76066f3cfad06,"{""chunk_id"": ""text_e0a76066f3cfad06"", ""source"": ""system"", ""confidence"": 1.0}"
entity:8f6a01f4984f,is_mentioned_in,chunk:text_8bd28c112409cd24,"{""chunk_id"": ""text_8bd28c112409cd24"", ""source"": ""system"", ""confidence"": 1.0}"
entity:be0182262c2a,is_mentioned_in,chunk:text_29872c0c058e58d4,"{""chunk_id"": ""text_29872c0c058e58d4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:8f14e45fceea,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
entity:15d7000797a3,is_mentioned_in,chunk:text_dd394da7f4d9a58d,"{""chunk_id"": ""text_dd394da7f4d9a58d"", ""source"": ""system"", ""confidence"": 1.0}"
entity:3f86323b5ef3,is_mentioned_in,chunk:text_8bd28c112409cd24,"{""chunk_id"": ""text_8bd28c112409cd24"", ""source"": ""system"", ""confidence"": 1.0}"
entity:7dd559560bb8,is_mentioned_in,chunk:text_3341f85fbc83cd82,"{""chunk_id"": ""text_3341f85fbc83cd82"", ""source"": ""system"", ""confidence"": 1.0}"
