source,relation,target,attributes
entity:84ec9c21e56b,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:52c338f3fce9,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,files_report,entity:ecf06aedc2eb,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:06ece8c54ff4,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:ecf06aedc2eb,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:afd53de4b517,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:91a071fd39cd,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a49d506ec710,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:c6698873b4f1,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:6dd0f1a277be,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:671e289aff92,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a5e87248b4ea,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:08d57057ee6d,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:efe54313cd08,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:51ff63a5b532,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:e1c3a5261b5b,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:12eecc0d9c7a,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_ticker,entity:a5e87248b4ea,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:06c84cefa4be,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:b27fb336884f,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:8df97ce9b2ec,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,files_report,entity:74459ca3cf85,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:e106edf026d7,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:cbfbc831fe39,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a658c984648f,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:9c67abda8f82,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:6bf793c7d654,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,listed_on,entity:51ff63a5b532,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:4b8c66e39b72,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_address,entity:fed025b82f52,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:74459ca3cf85,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:db96464a7abe,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
